scope,metric,unit,W1(Apr10-16),W2(Apr17-23),W3(Apr24-30),W4★(May01-07),W5(May08-14),W6(May15-21),W7(May22-27),%chg_W1(Apr10-16),%chg_W2(Apr17-23),%chg_W3(Apr24-30),%chg_W4★(May01-07),%chg_W5(May08-14),%chg_W6(May15-21),%chg_W7(May22-27)
gameCore,weeklyTotalMessages,msgs/wk,14.22,14.22,14.22,7.56,7.56,7.56,3.11,,0.0,0.0,-46.84,0.0,0.0,-58.86
project,weeklyTotalMessages,msgs/wk,42.66,42.66,42.66,23.01,23.01,23.01,9.33,,0.0,0.0,-46.06,0.0,0.0,-59.45
gameCore,weeklyTotalHumanMessages,msgs/wk,12.56,12.56,12.56,5.89,5.89,5.89,1.94,,0.0,0.0,-53.11,0.0,0.0,-67.06
project,weeklyTotalHumanMessages,msgs/wk,37.68,37.68,37.68,18.0,18.0,18.0,5.82,,0.0,0.0,-52.23,0.0,0.0,-67.67
gameCore,weeklyTotalCompletedTasks,tasks/wk,6.67,6.67,6.67,0.78,0.78,0.78,1.56,,0.0,0.0,-88.31,0.0,0.0,100.0
project,weeklyTotalCompletedTasks,tasks/wk,15.67,15.67,15.67,3.33,3.33,3.33,4.68,,0.0,0.0,-78.75,0.0,0.0,40.54
gameCore,weeklyTotalCompletedIssues,issues/wk,2.0,2.0,2.0,4.07,2.07,2.07,2.07,,0.0,0.0,103.5,-49.14,0.0,0.0
project,weeklyTotalCompletedIssues,issues/wk,5.0,5.0,5.0,12.0,6.99,6.99,6.99,,0.0,0.0,140.0,-41.75,0.0,0.0
gameCore,weeklyTotalCommits,commits/wk,11.89,11.89,11.89,5.11,5.11,5.11,3.5,,0.0,0.0,-57.02,0.0,0.0,-31.51
project,weeklyTotalCommits,commits/wk,33.0,33.0,33.0,17.99,17.99,17.99,10.5,,0.0,0.0,-45.48,0.0,0.0,-41.63
gameCore,weeklyTotalSolvedConflicts,MCs/wk,2.22,2.22,2.22,3.95,1.73,1.73,1.73,,0.0,0.0,77.93,-56.2,0.0,0.0
